car_ID,Make,region,Model,carbody,wheelbase,curbweight,eng_sz,hp,hwy_mpg,price
50,jaguar,euro,xk,sedan,102,3950,326,262,17,36000
51,mazda,asia,rx3,hatch,93,1890,91,68,31,5195
52,mazda,asia,glc,hatch,93,1900,91,68,38,6095
53,mazda,asia,rx2,hatch,93,1905,91,68,38,6795
54,mazda,asia,rx-4,sedan,93,1945,91,68,38,6695
55,mazda,asia,glc,sedan,93,1950,91,68,38,7395
56,mazda,asia,626,hatch,95,2380,70,101,23,10945
57,mazda,asia,glc,hatch,95,2380,70,101,23,11845
58,mazda,asia,rx-7,hatch,95,2385,70,101,23,13645
59,mazda,asia,glc,hatch,95,2500,80,135,23,15645
60,mazda,asia,626,hatch,99,2385,122,84,32,8845
61,mazda,asia,glc,sedan,99,2410,122,84,32,8495
62,mazda,asia,glc,hatch,99,2385,122,84,32,10595
63,mazda,asia,rx-4,sedan,99,2410,122,84,32,10245
64,mazda,asia,glc,sedan,99,2443,122,64,42,10795
65,mazda,asia,626,hatch,99,2425,122,84,32,11245
66,mazda,asia,glc,sedan,105,2670,140,120,27,18280
67,mazda,asia,rx-7,sedan,105,2700,134,72,39,18344
68,buick,amer,electra,sedan,110,3515,183,123,25,25552
69,buick,amer,century,wagon,110,3750,183,123,25,28248
70,buick,amer,century,hardtop,107,3495,183,123,25,28176
71,buick,amer,skyhawk,sedan,116,3770,183,123,25,31600
72,buick,amer,opel,sedan,116,3740,234,155,18,34184
73,buick,amer,skylark,conv,97,3685,234,155,18,35056
74,buick,amer,century,sedan,121,3900,308,184,16,40960
75,buick,amer,regal,hardtop,112,3715,304,184,16,45400
76,mercury,amer,cougar,hatch,103,2910,140,175,24,16503
77,mitsub,asia,mirage,hatch,94,1918,92,68,41,5389
78,mitsub,asia,lancer,hatch,94,1944,92,68,38,6189
79,mitsub,asia,outlander,hatch,94,2004,92,68,38,6669
80,mitsub,asia,g4,hatch,93,2145,98,102,30,7689
81,mitsub,asia,mirage,hatch,96,2370,110,116,30,9959
82,mitsub,asia,g4,hatch,96,2328,122,88,32,8499
83,mitsub,asia,outlander,hatch,96,2833,156,145,24,12629
84,mitsub,asia,g4,hatch,96,2921,156,145,24,14869
85,mitsub,asia,mirage,hatch,96,2926,156,145,24,14489
86,mitsub,asia,montero,sedan,96,2365,122,88,32,6989
87,mitsub,asia,pajero,sedan,96,2405,122,88,32,8189
88,mitsub,asia,outlander,sedan,96,2403,110,116,30,9279
89,mitsub,asia,mirage,sedan,96,2403,110,116,30,9279
90,nissan,asia,versa,sedan,95,1889,97,69,37,5499
91,nissan,asia,gt-r,sedan,95,2017,103,55,50,7099
92,nissan,asia,rogue,sedan,95,1918,97,69,37,6649
93,nissan,asia,latio,sedan,95,1938,97,69,37,6849
94,nissan,asia,titan,wagon,95,2024,97,69,37,7349
95,nissan,asia,leaf,sedan,95,1951,97,69,37,7299
96,nissan,asia,juke,hatch,95,2028,97,69,37,7799
97,nissan,asia,latio,sedan,95,1971,97,69,37,7499
98,nissan,asia,note,wagon,95,2037,97,69,37,7999
99,nissan,asia,clipper,hardtop,95,2008,97,69,37,8249
100,nissan,asia,rogue,hatch,97,2324,120,97,34,8949
101,nissan,asia,nv200,sedan,97,2302,120,97,34,9549
102,nissan,asia,dayz,sedan,100,3095,181,152,22,13499
103,nissan,asia,fuga,wagon,100,3296,181,152,22,14399
104,nissan,asia,otti,sedan,100,3060,181,152,25,13499
105,nissan,asia,teana,hatch,91,3071,181,160,25,17199
106,nissan,asia,kicks,hatch,91,3139,181,200,23,19699
107,nissan,asia,clipper,hatch,99,3139,181,160,25,18399
108,peugeot,euro,504,sedan,108,3020,120,97,24,11900
109,peugeot,euro,304,sedan,108,3197,152,95,33,13200
110,peugeot,euro,504,wagon,114,3230,120,97,24,12440
111,peugeot,euro,504,wagon,114,3430,152,95,25,13860
112,peugeot,euro,504,sedan,108,3075,120,95,24,15580
113,peugeot,euro,604sl,sedan,108,3252,152,95,33,16900
114,peugeot,euro,504,wagon,114,3285,120,95,24,16695
115,peugeot,euro,505s,wagon,114,3485,152,95,25,17075
116,peugeot,euro,504,sedan,108,3075,120,97,24,16630
117,peugeot,euro,504,sedan,108,3252,152,95,33,17950
118,peugeot,euro,604sl,sedan,108,3130,134,142,24,18150
119,plymouth,amer,fury,hatch,94,1918,90,68,41,5572
120,plymouth,amer,cricket,hatch,94,2128,98,102,30,7957
121,plymouth,amer,fury,hatch,94,1967,90,68,38,6229
122,plymouth,amer,satellite,sedan,94,1989,90,68,38,6692
123,plymouth,amer,fury,sedan,94,2191,98,68,38,7609
124,plymouth,amer,valiant,wagon,103,2535,122,88,30,8921
125,plymouth,amer,duster,hatch,96,2818,156,145,24,12764
126,porsche,euro,macan,hatch,95,2778,151,143,27,22018
127,porsche,euro,panamera,hardtop,90,2756,194,207,25,32528
128,porsche,euro,cayenne,hardtop,90,2756,194,207,25,34028
129,porsche,euro,boxter,conv,90,2800,194,207,25,37028
130,porsche,euro,cayenne,hatch,98,3366,203,288,28,31401
131,renault,euro,12tl,wagon,96,2579,132,90,31,9295
132,renault,euro,5,hatch,96,2460,132,90,31,9895
133,saab,euro,99e,hatch,99,2658,121,110,28,11850
134,saab,euro,99le,sedan,99,2695,121,110,28,12170
135,saab,euro,99le,hatch,99,2707,121,110,28,15040
136,saab,euro,99gle,sedan,99,2758,121,110,28,15510
137,saab,euro,99gle,hatch,99,2808,121,160,26,18150
138,saab,euro,99e,sedan,99,2847,121,160,26,18620
139,subaru,asia,unk,hatch,94,2050,97,69,36,5118
140,subaru,asia,dl,hatch,94,2120,108,73,31,7053
141,subaru,asia,dl,hatch,93,2240,108,73,31,7603
142,subaru,asia,unk,sedan,97,2145,108,82,37,7126
143,subaru,asia,brz,sedan,97,2190,108,82,33,7775
144,subaru,asia,baja,sedan,97,2340,108,94,32,9960
145,subaru,asia,r1,sedan,97,2385,108,82,25,9233
146,subaru,asia,r2,sedan,97,2510,108,111,29,11259
147,subaru,asia,trezia,wagon,97,2290,108,82,32,7463
148,subaru,asia,tribeca,wagon,97,2455,108,94,31,10198
149,subaru,asia,dl,wagon,97,2420,108,82,29,8013
150,subaru,asia,dl,wagon,97,2650,108,111,23,11694
151,toyota,asia,corona,hatch,96,1985,92,62,39,5348
152,toyota,asia,corona,hatch,96,2040,92,62,38,6338
153,toyota,asia,corolla,hatch,96,2015,92,62,38,6488
154,toyota,asia,corona,wagon,96,2280,92,62,37,6918
155,toyota,asia,corolla,wagon,96,2290,92,62,32,7898
156,toyota,asia,carina,wagon,96,3110,92,62,32,8778
157,toyota,asia,mark,sedan,96,2081,98,70,37,6938
158,toyota,asia,corolla,hatch,96,2109,98,70,37,7198
159,toyota,asia,corona,sedan,96,2275,110,56,36,7898
160,toyota,asia,corolla,hatch,96,2275,110,56,47,7788
161,toyota,asia,corona,sedan,96,2094,98,70,47,7738
162,toyota,asia,corolla,hatch,96,2122,98,70,34,8358
163,toyota,asia,mark,sedan,96,2140,98,70,34,9258
164,toyota,asia,corolla,sedan,95,2169,98,70,34,8058
165,toyota,asia,corona,hatch,95,2204,98,70,34,8238
166,toyota,asia,celica,sedan,95,2265,98,112,29,9298
167,toyota,asia,corolla,hatch,95,2300,98,112,29,9538
168,toyota,asia,corona,hardtop,98,2540,146,116,30,8449
169,toyota,asia,corolla,hardtop,98,2536,146,116,30,9639
170,toyota,asia,starlet,hatch,98,2551,146,116,30,9989
171,toyota,asia,tercel,hardtop,98,2679,146,116,30,11199
172,toyota,asia,corolla,hatch,98,2714,146,116,30,11549
173,toyota,asia,cressida,conv,98,2975,146,116,30,17669
174,toyota,asia,corolla,sedan,102,2326,122,92,34,8948
175,toyota,asia,celica,sedan,102,2480,110,73,33,10698
176,toyota,asia,corona,hatch,102,2414,122,92,32,9988
177,toyota,asia,corolla,sedan,102,2414,122,92,32,10898
178,toyota,asia,mark,hatch,102,2458,122,92,32,11248
179,toyota,asia,corolla,hatch,103,2976,171,161,24,16558
180,toyota,asia,corona,hatch,103,3016,171,161,24,15998
181,toyota,asia,starlet,sedan,105,3131,171,156,24,15690
182,toyota,asia,tercel,wagon,105,3151,161,156,24,15750
183,volks,euro,rabbit,sedan,97,2261,97,52,46,7775
184,volks,euro,1131,sedan,97,2209,109,85,34,7975
185,volks,euro,model,sedan,97,2264,97,52,46,7995
186,volks,euro,type,sedan,97,2212,109,85,34,8195
187,volks,euro,411,sedan,97,2275,109,85,34,8495
188,volks,euro,super,sedan,97,2319,97,68,42,9495
189,volks,euro,dasher,sedan,97,2300,109,100,32,9995
190,volks,euro,dasher,conv,95,2254,109,90,29,11595
191,volks,euro,rabbit,hatch,95,2221,109,90,29,9980
192,volks,euro,rabbit,sedan,100,2661,136,110,24,13295
193,volks,euro,rabbit,sedan,100,2579,97,68,38,13845
194,volks,euro,dasher,wagon,100,2563,109,88,31,12290
195,volvo,euro,145e,sedan,104,2912,141,114,28,12940
196,volvo,euro,144ea,wagon,104,3034,141,114,28,13415
197,volvo,euro,244dl,sedan,104,2935,141,114,28,15985
198,volvo,euro,245,wagon,104,3042,141,114,28,16515
199,volvo,euro,264gl,sedan,104,3045,130,162,22,18420
200,volvo,euro,diesel,wagon,104,3157,130,162,22,18950
201,volvo,euro,145e,sedan,109,2952,141,114,28,16845
202,volvo,euro,144ea,sedan,109,3049,141,160,25,19045
203,volvo,euro,244dl,sedan,109,3012,173,134,23,21485
204,volvo,euro,246,sedan,109,3217,145,106,27,22470
205,volvo,euro,264gl,sedan,109,3062,141,114,25,22625
